Title,Author,Genre,Year Published,Average Rating,# of 5 stars,# of 4 stars,# of 3 stars,# of 2 stars,# of 1 stars,5 star comment,4 star comment,3 star comment,2 star comment,1 star comment,Reason for ban
The Kite Runner,Khaled Hosseini,Asian American Literature and Fiction,2003,5,1189,375,109,24,30,A coming of age story for two boys and Afghanistan.,Hard not to enjoy the story. Well written and told. Moved through at a pretty good pace. It kept my interest; very descriptive and had colorfull characters.,"Good book, but too gloomy at places.",Could have been half the length. It felt like the important parts were lacking detail and glossed over and the useless parts were overdetailed and drawn out. The ending was predictable and nothing unexpected happened. I won't read any more from this author.,I read this years ago when it first came out and I CANNOT understand why it became such a bestseller. Because I cannot understand why people actually ENJOY reading about the sick treatment and abuse of other people.,sexual violence
Hunger Games,Suzanne Collins,Young adult fiction,2008,5,38440,5958,1759,734,1243,I could not put it down and it takes me a very long time to read. I LOVE THIS BOOK SO MUCH!!,“The Hunger Games” by Suzanne collins is a dystopian novel that truly captures the insane possibilities of imagination. It’s a fast paced but very intriguing novel that will keep you entertained and wanting. ,"Kind of gory, but exciting, im not fan of romance","Great read, enjoyed this novel",Really struggled to get into this book. The main character didn't really do it for me - Catniss is cruel and cold and calculating.,"insensitivity, offensive language, occult"
I Am Jazz,Jazz Jennings and Jessica Herthel,Children's literature ,2014,5,5,0,0,0,0,I Think That This Book Will Help Children Who Are Transgender. ,N/A,N/A,N/A,N/A,"Challenged and relocated for LGBTQIA+ content, for a transgender character, and for confronting a topic that is “sensitive, controversial, and politically charged.”"
The Perks of Being a Wallflower,Stephen Chbosky,Young adult fiction,1999,5,1979,397,160,64,76,"Life-changing, relatable book","I loved the characters, loved the way it was written, and felt like I could relate to each character in a different way.","I liked this book, though I didn’t lose my mind over it like many people seem to have. ",It was ok. Kind of weird/different. Not sure what all the hype was about.,this is boring,"Drugs, alcohol, smoking, homosexuality, offensive language, sexually explicit"
To Kill a Mockingbird,Harper Lee,Classic American Literature,1960,5,1072,251,131,43,38,"If you haven't read this book, you should",When I first saw this book. I thought it was overrated and old. Little did I know that it goes back to a time that I never knew. I was amazed by how well I liked the book after finishing. ,"I liked it but it wasn't a profoundly great book, one in which some people call the greatest book ever written. ",To me this was a very boring book,I had to read this book for school and was dreading every page. I did not like anything about this book. But i am 16 so maybe i will like it when i get older,Violence and racial slurs
Bone (series),Jeff Smith,Graphic novel,1991,4,15,3,1,2,1,"I am thrilled to say that it definitely is worth it. Bone was one of the
greatest comics series of all time and now its one of the best graphic novels too!",N/A,N/A,N/A,N/A,"Violence, racism, political viewpoint"
The Glass Castle,Jeannette Walls,Memoir,2005,4,1280,469,195,74,65,"I couldn't put this book down, it was so engaging! Walls is a masterful storyteller and she has great material to draw from, a uniquely intriguing life. ","A book of sadness, a book of poverty, a book of happiness, a book of relationships, The Glass Castle, has been a thrilling book to read. ",When I read this as every bad circumstance got worse I was doubtful. I believe that her childhood was awful but it appeared to me that some things we overdone for the benefit of the audience. I wouldn't recommend this book.,"I'm very surprised to see the very high number of reviewers giving this book 5 and 4 stars. Perhaps they enjoy memoirs as a rule, or stories of disfunctional families, but this book did not work for me. ","Some things in this do not seem realistic. I believe the hard life, but some of the events seem unlikely.","Strong sexual situations, alcoholism and abuse"
Two Boys Kissing,David Levithan,Young adult fiction,2013,5,14,2,1,0,0,Simply amazing,"I really liked the idea of this book; it was touching in some parts, sad in others, but not without light and happy scenes.","The 'Greek Chorus' point-of-view is strange really, and just a little hard to get used to. There are a lot of 'we's in it. The story's great though! And the POV is fitting. As for the writing itself, it's extremely poetic. More so than then the other books by this author I've read, it isn't what I would have done but it makes for an extremely emotional tone which helps to carry the main purpose and argument of the story.",N/A,N/A,Sexually explicit LBGT content
A Day in the Life of Marlon Bundo,Jill Twiss,Children's literature ,2018,5,33,0,0,0,1,Beautifully illustrated. I love the little jokes,N/A,N/A,N/A,"Well illustrated, however very mean spirited. If you want to teach children about homosexuality I would recommend ""And Tango Makes Three"". Book feels overall indoctrinating, but I am sure it is well intentioned. As a homosexual father, I would not recommend this to represent my community.","LGBTQIA+ content, for ""its effect on any young people who would read it,"" for concerns that it was sexually explicit and biased, as well as its political and religious viewpoints."
Sex is a Funny Word,Cory Silverberg,Graphic novel,2015,5,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,"Sexual violence, gender identity, sexual education"
